Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;Word
 anger;; disgust; fear;;;;;eradication
 anger;; disgust; fear;;;;;enemy
 anger;; disgust; fear;;;;;elf
 anger;; disgust; fear;;;;;distrust
 anger;; disgust; fear;;;;;disreputable
 anger;; disgust; fear;;;;;disgusting
 anger;; disgust; fear;;;;;diabolical
 anger;; disgust; fear;;;;;destructive
 anger;; disgust; fear;;;;;deranged
 anger;; disgust; fear;;;;;denunciation
 anger;; disgust; fear;;;;;deleterious
 anger;; disgust; fear;;;;;defiance
 anger;; disgust; fear;;;;;dastardly
 anger;; disgust; fear;;;;;cur
 anger;; disgust; fear;;;;;crushing
 anger;; disgust; fear;;;;;criminality
 anger;; disgust; fear;;;;;criminal
 anger;; disgust; fear;;;;;contraband
 anger;; disgust; fear;;;;;contentious
 anger;; disgust; fear;;;;;contempt
 anger;; disgust; fear;;;;;coerce
 anger;; disgust; fear;;;;;butcher
 anger;; disgust; fear;;;;;brawl
 anger;; disgust; fear;;;;;bloodthirsty
 anger;; disgust; fear;;;;;birch
 anger;; disgust; fear;;;;;bigot
 anger;; disgust; fear;;;;;barbaric
 anger;; disgust; fear;;;;;bane
 anger;; disgust; fear;;;;;badness
 anger;; disgust; fear;;;;;aversion
 anger;; disgust; fear;;;;;averse
 anger;; disgust; fear;;;;;antichrist
 anger;; disgust; fear;;;;;abomination
 anger;; disgust; fear;;;;;abhorrent
 anger;; disgust; fear;;;;;abhor
 anger;; disgust;; joy;; surprise; trust;rave
 anger;; disgust;;; sadness; surprise;;insult
 anger;; disgust;;; sadness; surprise;;hoax
 anger;; disgust;;; sadness; surprise;;betray
 anger;; disgust;;; sadness;;;wrongful
 anger;; disgust;;; sadness;;;wrongdoing
 anger;; disgust;;; sadness;;;wretch
 anger;; disgust;;; sadness;;;worthless
 anger;; disgust;;; sadness;;;wasteful
 anger;; disgust;;; sadness;;;vulgarity
 anger;; disgust;;; sadness;;;unhappy
 anger;; disgust;;; sadness;;;unfair
 anger;; disgust;;; sadness;;;uncaring
 anger;; disgust;;; sadness;;;slur
 anger;; disgust;;; sadness;;;shun
 anger;; disgust;;; sadness;;;segregate
 anger;; disgust;;; sadness;;;sarcasm
 anger;; disgust;;; sadness;;;ridicule
 anger;; disgust;;; sadness;;;resentment
 anger;; disgust;;; sadness;;;reproach
 anger;; disgust;;; sadness;;;remiss
 anger;; disgust;;; sadness;;;recidivism
 anger;; disgust;;; sadness;;;perversion
 anger;; disgust;;; sadness;;;paucity
 anger;; disgust;;; sadness;;;overpriced
 anger;; disgust;;; sadness;;;obnoxious
 anger;; disgust;;; sadness;;;nepotism
 anger;; disgust;;; sadness;;;neglected
 anger;; disgust;;; sadness;;;mocking
 anger;; disgust;;; sadness;;;miserable
 anger;; disgust;;; sadness;;;lie
 anger;; disgust;;; sadness;;;irritation
 anger;; disgust;;; sadness;;;inhibit
 anger;; disgust;;; sadness;;;inexcusable
 anger;; disgust;;; sadness;;;inconvenient
 anger;; disgust;;; sadness;;;inconsiderate
 anger;; disgust;;; sadness;;;incompatible
 anger;; disgust;;; sadness;;;inappropriate
 anger;; disgust;;; sadness;;;idiocy
 anger;; disgust;;; sadness;;;humbug
 anger;; disgust;;; sadness;;;grumpy
 anger;; disgust;;; sadness;;;grievance
 anger;; disgust;;; sadness;;;frustrate
 anger;; disgust;;; sadness;;;frowning
 anger;; disgust;;; sadness;;;fleece
 anger;; disgust;;; sadness;;;disservice
 anger;; disgust;;; sadness;;;disqualified
 anger;; disgust;;; sadness;;;disparity
 anger;; disgust;;; sadness;;;disparaging
 anger;; disgust;;; sadness;;;disparage
 anger;; disgust;;; sadness;;;disillusionment
 anger;; disgust;;; sadness;;;dishonest
 anger;; disgust;;; sadness;;;disgruntled
 anger;; disgust;;; sadness;;;disgraced
 anger;; disgust;;; sadness;;;disgrace
 anger;; disgust;;; sadness;;;disapproving
 anger;; disgust;;; sadness;;;disappointed
 anger;; disgust;;; sadness;;;disappoint
 anger;; disgust;;; sadness;;;deplore
 anger;; disgust;;; sadness;;;degeneracy
 anger;; disgust;;; sadness;;;deceive
 anger;; disgust;;; sadness;;;damage
 anger;; disgust;;; sadness;;;condescension
 anger;; disgust;;; sadness;;;bitterness
 anger;; disgust;;; sadness;;;bitterly
 anger;; disgust;;; sadness;;;betrayal
 anger;; disgust;;; sadness;;;banishment
 anger;; disgust;;;; surprise;;reversal
 anger;; disgust;;;; surprise;;misbehavior
 anger;; disgust;;;;; trust;disclaim
 anger;; disgust;;;;; trust;dame
 anger;; disgust;;;;;;wench
 anger;; disgust;;;;;;wasted
 anger;; disgust;;;;;;vindictive
 anger;; disgust;;;;;;vicious
 anger;; disgust;;;;;;untoward
 anger;; disgust;;;;;;ungrateful
 anger;; disgust;;;;;;tortious
 anger;; disgust;;;;;;tirade
 anger;; disgust;;;;;;thoughtless
 anger;; disgust;;;;;;tariff
 anger;; disgust;;;;;;surly
 anger;; disgust;;;;;;subsidy
 anger;; disgust;;;;;;stalemate
 anger;; disgust;;;;;;squelch
 anger;; disgust;;;;;;sneer
 anger;; disgust;;;;;;snarl
 anger;; disgust;;;;;;smell
 anger;; disgust;;;;;;slut
 anger;; disgust;;;;;;slander
 anger;; disgust;;;;;;shoplifting
 anger;; disgust;;;;;;shoddy
 anger;; disgust;;;;;;shit
 anger;; disgust;;;;;;sham
 anger;; disgust;;;;;;separatist
 anger;; disgust;;;;;;selfish
 anger;; disgust;;;;;;scoff
 anger;; disgust;;;;;;rook
 anger;; disgust;;;;;;ridiculous
 anger;; disgust;;;;;;repudiation
 anger;; disgust;;;;;;recalcitrant
 anger;; disgust;;;;;;provoking
 anger;; disgust;;;;;;presumptuous
 anger;; disgust;;;;;;polemic
 anger;; disgust;;;;;;phony
 anger;; disgust;;;;;;pervert
 anger;; disgust;;;;;;outrage
 anger;; disgust;;;;;;offensive
 anger;; disgust;;;;;;offend
 anger;; disgust;;;;;;obscenity
 anger;; disgust;;;;;;nettle
 anger;; disgust;;;;;;muff
 anger;; disgust;;;;;;mosquito
 anger;; disgust;;;;;;mistress
 anger;; disgust;;;;;;misstatement
 anger;; disgust;;;;;;misplace
 anger;; disgust;;;;;;misleading
 anger;; disgust;;;;;;malign
 anger;; disgust;;;;;;lying
 anger;; disgust;;;;;;loathsome
 anger;; disgust;;;;;;loathe
 anger;; disgust;;;;;;livid
 anger;; disgust;;;;;;litigious
 anger;; disgust;;;;;;jealous
 anger;; disgust;;;;;;irritating
 anger;; disgust;;;;;;infantile
 anger;; disgust;;;;;;inept
 anger;; disgust;;;;;;indignation
 anger;; disgust;;;;;;indecency
 anger;; disgust;;;;;;incredulous
 anger;; disgust;;;;;;inadmissible
 anger;; disgust;;;;;;immorality
 anger;; disgust;;;;;;idiotic
 anger;; disgust;;;;;;huff
 anger;; disgust;;;;;;hostility
 anger;; disgust;;;;;;hoot
 anger;; disgust;;;;;;harass
 anger;; disgust;;;;;;grumble
 anger;; disgust;;;;;;gruff
 anger;; disgust;;;;;;greed
 anger;; disgust;;;;;;grating
 anger;; disgust;;;;;;gall
 anger;; disgust;;;;;;furious
 anger;; disgust;;;;;;fraudulent
 anger;; disgust;;;;;;flagrant
 anger;; disgust;;;;;;exasperation
 anger;; disgust;;;;;;egregious
 anger;; disgust;;;;;;disobey
 anger;; disgust;;;;;;disobedience
 anger;; disgust;;;;;;dislike
 anger;; disgust;;;;;;disgraceful
 anger;; disgust;;;;;;disdain
 anger;; disgust;;;;;;discord
 anger;; disgust;;;;;;diatribe
 anger;; disgust;;;;;;detest
 anger;; disgust;;;;;;despise
 anger;; disgust;;;;;;despicable
 anger;; disgust;;;;;;desist
 anger;; disgust;;;;;;derision
 anger;; disgust;;;;;;depreciate
 anger;; disgust;;;;;;depravity
 anger;; disgust;;;;;;denounce
 anger;; disgust;;;;;;delinquent
 anger;; disgust;;;;;;defraud
 anger;; disgust;;;;;;damn
 anger;; disgust;;;;;;dabbling
 anger;; disgust;;;;;;cursing
 anger;; disgust;;;;;;copycat
 anger;; disgust;;;;;;coop
 anger;; disgust;;;;;;contemptible
 anger;; disgust;;;;;;claimant
 anger;; disgust;;;;;;cheat
 anger;; disgust;;;;;;carelessness
 anger;; disgust;;;;;;canker
 anger;; disgust;;;;;;callous
 anger;; disgust;;;;;;cad
